----------------------------------------------
fp32-fp32-batch1_deit_small_distilled_patch16_224
----------------------------------------------
Processing 1 / 50000 : Top-1 100.0% , Top-5: 100.0%     
Processing 2 / 50000 : Top-1 50.0% , Top-5: 100.0%     
Processing 3 / 50000 : Top-1 66.7% , Top-5: 100.0%     
Processing 4 / 50000 : Top-1 75.0% , Top-5: 100.0%     
Processing 5 / 50000 : Top-1 80.0% , Top-5: 100.0%     
Processing 6 / 50000 : Top-1 83.3% , Top-5: 100.0%     
Processing 7 / 50000 : Top-1 85.7% , Top-5: 100.0%     
Processing 8 / 50000 : Top-1 87.5% , Top-5: 100.0%     
Processing 9 / 50000 : Top-1 88.9% , Top-5: 100.0%     
Processing 10 / 50000 : Top-1 90.0% , Top-5: 100.0%     
Processing 11 / 50000 : Top-1 90.9% , Top-5: 100.0%     
Processing 12 / 50000 : Top-1 91.7% , Top-5: 100.0%     
Processing 13 / 50000 : Top-1 92.3% , Top-5: 100.0%     
Processing 14 / 50000 : Top-1 92.9% , Top-5: 100.0%     
Processing 15 / 50000 : Top-1 93.3% , Top-5: 100.0%     
Processing 16 / 50000 : Top-1 93.8% , Top-5: 100.0%     
Processing 17 / 50000 : Top-1 88.2% , Top-5: 100.0%     
Processing 18 / 50000 : Top-1 88.9% , Top-5: 100.0%     
Processing 19 / 50000 : Top-1 89.5% , Top-5: 100.0%     
Processing 20 / 50000 : Top-1 90.0% , Top-5: 100.0%     
Processing 21 / 50000 : Top-1 90.5% , Top-5: 100.0%     
Processing 22 / 50000 : Top-1 90.9% , Top-5: 100.0%     
Processing 23 / 50000 : Top-1 91.3% , Top-5: 100.0%     
Processing 24 / 50000 : Top-1 91.7% , Top-5: 100.0%     
Processing 25 / 50000 : Top-1 92.0% , Top-5: 100.0%     
Processing 26 / 50000 : Top-1 88.5% , Top-5: 100.0%     
Processing 27 / 50000 : Top-1 88.9% , Top-5: 100.0%     
Processing 28 / 50000 : Top-1 85.7% , Top-5: 100.0%     
Processing 29 / 50000 : Top-1 86.2% , Top-5: 100.0%     
Processing 30 / 50000 : Top-1 86.7% , Top-5: 100.0%     
Processing 31 / 50000 : Top-1 87.1% , Top-5: 100.0%     
Processing 32 / 50000 : Top-1 87.5% , Top-5: 100.0%     
Processing 33 / 50000 : Top-1 84.8% , Top-5: 100.0%     
Processing 34 / 50000 : Top-1 85.3% , Top-5: 100.0%     
Processing 35 / 50000 : Top-1 85.7% , Top-5: 100.0%     
Processing 36 / 50000 : Top-1 86.1% , Top-5: 100.0%     
Processing 37 / 50000 : Top-1 83.8% , Top-5: 97.3%     
Processing 38 / 50000 : Top-1 84.2% , Top-5: 97.4%     
Processing 39 / 50000 : Top-1 82.1% , Top-5: 97.4%     
Processing 40 / 50000 : Top-1 82.5% , Top-5: 97.5%     
Processing 41 / 50000 : Top-1 80.5% , Top-5: 97.6%     
Processing 42 / 50000 : Top-1 81.0% , Top-5: 97.6%     
Processing 43 / 50000 : Top-1 81.4% , Top-5: 97.7%     
Processing 44 / 50000 : Top-1 81.8% , Top-5: 97.7%     
Processing 45 / 50000 : Top-1 82.2% , Top-5: 97.8%     
Processing 46 / 50000 : Top-1 82.6% , Top-5: 97.8%     
Processing 47 / 50000 : Top-1 83.0% , Top-5: 97.9%     
Processing 48 / 50000 : Top-1 81.2% , Top-5: 97.9%     
Processing 49 / 50000 : Top-1 81.6% , Top-5: 98.0%     
Processing 50 / 50000 : Top-1 80.0% , Top-5: 96.0%     
Processing 51 / 50000 : Top-1 80.4% , Top-5: 96.1%     
Processing 52 / 50000 : Top-1 80.8% , Top-5: 96.2%     
Processing 53 / 50000 : Top-1 81.1% , Top-5: 96.2%     
Processing 54 / 50000 : Top-1 81.5% , Top-5: 96.3%     
Processing 55 / 50000 : Top-1 81.8% , Top-5: 96.4%     
Processing 56 / 50000 : Top-1 82.1% , Top-5: 96.4%     
Processing 57 / 50000 : Top-1 80.7% , Top-5: 96.5%     
Processing 58 / 50000 : Top-1 81.0% , Top-5: 96.6%     
Processing 59 / 50000 : Top-1 81.4% , Top-5: 96.6%     
Processing 60 / 50000 : Top-1 81.7% , Top-5: 96.7%     
Processing 61 / 50000 : Top-1 80.3% , Top-5: 96.7%     
Processing 62 / 50000 : Top-1 80.6% , Top-5: 96.8%     
Processing 63 / 50000 : Top-1 81.0% , Top-5: 96.8%     
Processing 64 / 50000 : Top-1 81.2% , Top-5: 96.9%     
Processing 65 / 50000 : Top-1 81.5% , Top-5: 96.9%     
Processing 66 / 50000 : Top-1 81.8% , Top-5: 97.0%     
Processing 67 / 50000 : Top-1 82.1% , Top-5: 97.0%     
Processing 68 / 50000 : Top-1 82.4% , Top-5: 97.1%     
Processing 69 / 50000 : Top-1 82.6% , Top-5: 97.1%     
Processing 70 / 50000 : Top-1 82.9% , Top-5: 97.1%     
Processing 71 / 50000 : Top-1 81.7% , Top-5: 97.2%     
Processing 72 / 50000 : Top-1 81.9% , Top-5: 97.2%     
